idx,raw_conf,raw_rand,ratio_conf,ratio_rand
78,0.00957257911575939,4.80300072425825e-09,6.391383908840954,0.3470787777402757
56,0.0002392554908098597,3.994306370144993e-09,0.3511969681315148,0.23356253322139994
53,0.00048539374621961836,8.61591257618289e-07,2.082973826568286,0.9916069459739051
159,0.00019763303080960542,9.37212737485696e-11,1.7162573400825885,0.20085305147669666
194,0.002129510464651305,5.129213256771149e-10,2.710837815641499,0.25163668732373795
454,0.0013329505062287742,3.47947042989392e-10,1.9618072785865566,0.15862708989737434
160,0.00017372971869065862,2.7369449947127877e-10,0.8249516835896018,0.2172246059408994
100,0.0028535029211789803,1.9294615614713475e-10,9.769172723471891,0.15436138448437797
348,0.0007153894086541869,6.206604980776167e-08,1.565080859284822,0.8795449978374932
6,0.0012197856922136067,1.3828023524123365e-10,1.9328351647832958,0.09392280713444354
146,0.0024915971565398157,1.964820706313849e-09,1.159654769069266,0.3427119326625134
177,0.0002786505770391724,5.72820677129788e-10,0.8019733515262378,0.6215551608171852
136,0.000290877894747556,2.6351424805114274e-10,1.3779906849468997,0.27835906053943654
208,0.0006407019689798829,4.4992015471165813e-10,2.597280756642684,0.460676492768814
164,0.0007265199696677364,1.3034863357862121e-10,3.530098047067325,0.24907177508450595
435,0.0004054023654411195,1.2998389758594695e-10,2.4240119717027846,0.3156861657746122
93,0.0007750224906042754,3.23552418836766e-10,1.6708864302577031,0.5390032801081328
374,0.008390841354813149,2.713570889740851e-10,11.705439738056512,0.3494165042562903
165,0.0012710039324642134,5.950549956415377e-10,2.1983192642093328,0.22797122694509114
180,0.00046069813342067647,1.9065144931993308e-10,2.8090177338714217,0.33048741854426805
452,0.004093271462629736,1.4285744579753082e-10,3.2148715632757106,0.08745200226293798
428,0.00037979491417975276,2.8011886899795717e-10,0.9961791537849,0.12036582835728812
22,0.0003824280412377057,1.5627624722058474e-09,1.306903684440782,1.0626850821757832
68,0.0010599602499067984,4.705170668967768e-10,4.6050534799730185,0.418448062503149
58,0.0011739930801412197,2.7405088859737556e-08,2.2962699675411766,0.9392802035946641
108,0.00039068163352806284,1.103406629970726e-09,0.8105316199999081,0.44835055518299816
116,0.0007327307625959188,9.890014883682132e-10,2.2017842539674284,0.5076908063323663
385,0.0013063009331014462,1.0895861029407367e-10,2.8695297357578573,0.08896115894469071
142,0.0006077723129193077,1.0334816425358921e-10,0.7304841067639899,0.0373621398657724
271,0.0008493275244375427,7.777257979426104e-09,2.433141688926975,0.1819028021733505
167,0.0005313930335488204,9.859154620756377e-11,1.7599598390437539,0.07070130224378679
137,0.00042756253003949763,5.360080426516312e-10,1.0067163632092229,0.31273247135792764
4,0.0005674399605750383,3.842254920695756e-10,1.5440762809842565,0.2604236378469048
233,0.001735465513316601,4.996704716570918e-09,7.240243937746793,0.6935959316331377
65,0.0014364831042513245,2.7739382331567994e-10,3.2084018998000428,0.14111625839159167
115,0.0004665256432622371,2.9087701282983477e-10,2.202558484035684,0.5998030019927717
101,0.002163370959657235,1.28837765077145e-10,7.6968770609884425,0.13508056790964923
25,0.0004219359043039908,2.4210558262864733e-09,1.9500163571162574,0.9122673529957707
153,0.00019169883336124762,4.69470730805784e-09,0.40085659507094556,1.09127643274456
54,0.002429918144206571,2.0598877682711066e-10,1.671843545992567,0.16030779339306833
324,0.0012571680494370943,1.0259601904597553e-10,2.240900339336444,0.14608836254659313
80,0.0007003099385981705,2.2432950964683976e-10,1.8317284047345677,0.1815127131657364
211,0.0003574277298650491,1.5763751176543626e-09,1.1164406063058425,0.6064615602245989
185,0.002063224718092976,2.7489572357868673e-09,6.186455403615392,0.4223245127796014
331,0.0005176452728343457,1.8105558291465901e-09,1.6741735641116242,0.6581493631332341
436,0.0012809776183491004,8.565685917450529e-11,5.031084757587029,0.2726922581371906
187,0.000937139986909868,4.60770147141939e-09,1.4061869671770282,0.4305797214294206
12,0.001982388096901511,5.724467012412186e-11,1.1494517010780299,0.05005654666388729
119,0.00040363653172033836,1.629532131284151e-10,0.6377318877071617,0.10729727651607866
83,0.0010442488089020274,9.666506816200393e-10,2.2117483883991884,1.0019093208410745
135,0.0011155524871989237,1.217397668849271e-10,7.161885256105084,0.08771733604621895
196,0.0037889444565816924,1.6278732022208977e-10,2.4671971890246374,0.04598544780737064
422,0.0015476755485812337,1.9585307926864415e-10,6.974044040616936,0.3451134709950566
434,0.0005817034177625478,2.1610953650832943e-10,2.9250088633240616,0.2859555408486213
114,0.0003861656105906517,1.4577253491801133e-10,1.114849647075515,0.16417594641491176
57,0.0008304870880130659,9.395853617544007e-10,3.2103473201933057,0.719711266898545
40,0.0001579353444462752,1.2673807067743701e-10,0.7183675483269397,0.16988089334162354
410,0.0008641080528244915,3.3599181568672075e-09,5.6395947004817595,0.9892615853291887
49,0.0013057661501991579,4.0765253168092777e-10,4.579708752185899,0.3399675896307099
106,0.00526343805836361,3.1280058276440674e-10,12.724348108589195,0.3222415457539996
359,0.0005420719142484299,3.1622099168523754e-10,0.6849418205065401,0.28350301894159796
151,0.00018798986810678473,1.4596282609146836e-10,0.914727980888578,0.1772922216932159
90,0.0019696868094356,4.077865329593841e-11,4.828182272827859,0.05582887991026184
357,0.001002478941003607,8.474117620413788e-10,3.0646810598820453,0.48124666679716704
195,0.0004923885335931062,8.011312789748954e-11,1.3550026546884557,0.07445992339938536
139,0.001607070782676285,8.929581107700732e-11,0.5136317313497925,0.0707487095384496
85,0.0005060405916470004,5.638503089625223e-10,1.89079153675182,0.5673552059309366
176,0.0023749932550685858,3.20910278209295e-10,2.4328879069795257,0.5457152092261706
143,0.0019491603600317099,2.053456322594781e-06,5.536411597238741,0.9874163104156758
