sim,Vanilla Grad,IG-zero,SmoothGrad,ExpGrad,IDG,Blur-IG,Guided IG,KLIG-Adaptive,KL-IG (linear),KL-IG²,KL-IG² (adaptive)
0.5866428749596184,0.006580710767010019,0.00964928272462898,0.01607840932849269,0.012402715481651127,0.0071814954932993245,0.017813072996487468,0.012951317590516653,0.01613719016873527,0.017218926246723446,0.010860073983141559,0.010126326452769405
0.7490454513724373,0.015389226989582545,0.01711809248949338,0.01010098424343503,0.01279278988802145,0.0163808519011253,0.01640932945740646,0.011975631198765572,0.00949808200618432,0.012969881853866931,0.013048826876009788,0.01165948575527307
0.29006945561149494,0.015848305771124734,0.01374177129493594,0.012657734770621647,0.013325741319412792,0.014139678978500906,0.012386085071381706,0.011906498115220945,0.011051143810626723,0.012417130386394755,0.01614447532206992,0.014429367186049667
0.49932225307210604,0.02302004121773781,0.026554858344585576,0.029877317089170928,0.023882382523713573,0.020814573167986856,0.031213775109411018,0.025503366689690478,0.029582999590682786,0.03130259392887606,0.030996475013365884,0.03118570605848662
0.8007647100301551,0.006901347421586549,0.00761285053462872,0.011344120221958406,0.009421417594652592,0.005869737566486213,0.010911029768281994,0.009059542436935623,0.009225458895899558,0.012712305162437694,0.007336654104370598,0.010328608735353347
0.33215407411615877,0.0052570462009573025,0.003985160765807783,0.006553594143781106,0.00570238042849229,0.004611647795903186,0.006346971167588566,0.005245740105596038,0.0069875726748102615,0.006099050780291015,0.006066041472723683,0.00686312843160317
0.4287696910319697,0.023991052821955683,0.03332146761625489,0.03213134299812661,0.031327477881949596,0.02740343226075016,0.02550464473396635,0.03643281692552904,0.03516916424327556,0.038043573432877495,0.027515835022321026,0.028408380665920073
0.6082309406346651,0.013268328835370671,0.011222687056284621,0.012467872939561997,0.012340736312917993,0.011461644805504694,0.01245675513038122,0.012714863901817431,0.01231799578242775,0.012065553624652508,0.01268497284606554,0.013020282834064702
0.16635318259962373,0.01052504223054865,0.012028410592057837,0.013625953512534941,0.0129004650881891,0.012275826895824453,0.014001327531121542,0.01344525289421611,0.011752499709619404,0.015113594841468687,0.013158039777789088,0.012957040095024465
0.759194484210505,0.018935885146046754,0.019739580411626167,0.014017099508041917,0.016883180187420053,0.02415530274476288,0.018838681655438064,0.014206338735860755,0.015021642263598785,0.018151467430162323,0.010382651001926884,0.01167164993927077
0.5175009020574745,0.014909794406498852,0.015067107515007273,0.014519147407277597,0.01399182268757126,0.014641343653558642,0.008460579611027674,0.012240757318404554,0.01485265371626251,0.012747255129528956,0.01245903142124682,0.013146630329936917
0.621871507150744,0.005029295050498332,0.004907886507530216,0.008559540976331742,0.006068475501642166,0.0039996394891317795,0.006607446270672186,0.005463922428930458,0.006948922927464627,0.008063322077783146,0.007736250448995591,0.007218576931104104
0.40692012841435043,0.012340381474860957,0.01866867529044042,0.013282633229274636,0.014161095252288815,0.013925823493906631,0.0180189859900011,0.01308993814380071,0.011306977142486256,0.014675533799835543,0.017393229114576882,0.014067088394162472
0.8032490029023842,0.025122339132012474,0.025343869474640835,0.03258323201844291,0.02781204578714713,0.02337898598125347,0.02361950590518618,0.029028812406649764,0.029638585668599764,0.02880998877118676,0.028371297792819074,0.03001576725281641
0.6969590489739571,0.014636842100449379,0.018884048800512716,0.01973537406015616,0.01758676870989158,0.015548490078090511,0.02345590736523102,0.01970543081287921,0.021620730266321476,0.02183600469573253,0.018402607314776644,0.018889843253500994
0.3473522042354737,0.012029006580837843,0.0141465318510676,0.02198091197658048,0.019944570895203788,0.012012688152325387,0.015974882784234316,0.018359492067307123,0.023952356911051076,0.02450704560183605,0.02256920232175981,0.021372369847774967
0.6230285926416963,0.00979946730403769,0.01157489961696186,0.02018289336969183,0.0179346472099003,0.009018196507304815,0.02540137407757154,0.01862777499771951,0.02434130114603683,0.024009790432398988,0.015867776834812466,0.015985392660699278
0.4390678599320561,0.005105366489495488,0.005157187030764461,0.0045008650772378105,0.0054241856393641786,0.005414341766600546,0.005616260640773598,0.004611237852274285,0.0060413790710561665,0.005741168754760742,0.0044799350599987,0.004366685461487515
0.37006427327504454,0.009705946140113024,0.006862092989324291,0.008952531721626184,0.00783734073675767,0.007105971081221972,0.011131846894680386,0.00816631143353922,0.00921151545463621,0.007319087057633631,0.010389280406989035,0.009284780917954098
0.4028417159204845,0.014247065487797488,0.015411580800306834,0.013902898606269781,0.013766450778502193,0.013241812778216096,0.01531518654906425,0.01265378539958368,0.015726754978679446,0.01453185727980371,0.015660297848187253,0.014725494633668674
0.3075851261649346,0.013884527619143132,0.011744764714681897,0.01617873811321546,0.015240696795361304,0.011501770289919598,0.016721357286372394,0.014080226275257887,0.013979946940719867,0.015378110866558993,0.016077158020845344,0.015521506986817181
0.16057438187539275,0.01126740618760161,0.012332161169155547,0.010531647325198361,0.011374066316791134,0.011192024550420699,0.011122265208196183,0.010048346961821296,0.01206766666152474,0.01194975887054005,0.011148217789009545,0.010999412795852585
0.5568402666356612,0.00851494337619817,0.009870244249087955,0.016065832429746747,0.016151717643689858,0.007423789491065275,0.01989791318215463,0.013598947610869135,0.025534813716855235,0.023382302767168846,0.011942731355063735,0.015025796646691823
