idx,y1,y2,y1_label,regime_ratio,regime,salience,sem_dist,align_Vanilla Grad,signblind_Vanilla Grad,align_SmoothGrad,signblind_SmoothGrad,align_IG-zero,signblind_IG-zero,align_Blur-IG,signblind_Blur-IG,align_IDG,signblind_IDG,align_Guided IG,signblind_Guided IG,align_ExpGrad,signblind_ExpGrad,align_KLIG-Adaptive,signblind_KLIG-Adaptive,align_KL-IG (linear),signblind_KL-IG (linear),align_KL-IG²,signblind_KL-IG²,align_KL-IG² (adaptive),signblind_KL-IG² (adaptive),align_Random,signblind_Random,native_KL-IG² (adaptive),native_signblind_KL-IG² (adaptive),native_KL-IG²,native_signblind_KL-IG²,align_GT-oracle,align_class-blind,align_Shuffle,align_spread,cleanliness
454,441,572,beer glass,1.9844176938317286,spatial,0.22101117310401236,0.1584581732749939,0.08495898866098833,-0.04203955351447412,0.08202689631195186,0.3280665050050443,-0.2361380049417154,0.3135369652785636,0.04005533804242572,0.5399750528620708,-0.06094372145616759,0.04173108906168114,-0.009426786982670672,0.4450795839316653,0.15187662199883706,0.0891757768977342,-0.012086496831411579,0.20795247319367044,0.3459304459788013,0.4007180808481966,-0.050885828967696015,0.35366535959095574,0.19375525033573118,0.2783333475202891,-0.13087399064248761,-0.06330425626707845,0.1872815085008904,0.2705063558323033,-0.04206089933255366,0.37459390676884036,1.0,0.0,-0.039622831376265565,0.15253657471356918,clean
160,595,856,harvester,0.7398704141458128,spatial,0.07700606305849578,0.13025003671646118,0.002373185077400896,0.04840586085508143,-0.09990670060729438,0.3212941283588099,0.09069054752241591,0.2925554237144098,-0.06103006166124356,0.3586640480491709,0.12417188389305243,0.11662556209760913,0.03632698529461389,0.3895372456679329,0.3699359624487472,0.35399090130179317,0.19157116219100762,0.3144001345199245,0.2045177260428668,0.3844198494278519,-0.024150256995554994,0.3129555796397788,-0.08977114602975726,0.4094272737209835,-0.00763403035367499,0.08863447024352131,-0.05508838683365285,0.43583243113293924,-0.043449278805862405,0.41871040656220504,0.9999999999999999,0.0,-0.04947321487714973,0.1456970473457607,clean
100,559,765,folding chair,8.478865034936922,spatial,0.10297119284070444,0.1339319348335266,-0.08754915335997511,0.21206401521402124,-0.059108289870558016,0.3210067025843654,0.15030021371598123,0.2830389455483439,0.332453455949846,0.3050582862634855,0.1695192847218049,0.2962673837874098,0.35885251177959016,0.42707399166015353,0.3132729057532277,0.4765248639523974,0.28954258917202513,0.38385958211159416,0.358030912796967,0.43356613758009926,-0.2037222544792004,0.22779979776655496,-0.4868716846077799,0.41743516036668593,-0.06260924600811871,-0.07158440251856005,-0.1103656178130345,0.13881410118024332,-0.16323483498408456,0.13022374671276105,1.0000000000000002,0.0,0.016184721668694287,0.278107906167062,messy
348,831,706,studio couch,1.6055359757641505,spatial,0.15084803665556068,0.2786790132522583,-0.04052201571288496,0.1855944005926268,0.05846952290889596,0.15044328462022835,0.02937785306124349,0.308019445358093,0.10129912031098658,0.17395375522430687,-0.1154002248527024,0.2124269044043551,0.025807605077547088,0.20844256183000429,0.1808340374849245,0.27721701079529254,0.09442678776933484,0.29146117633459157,0.141997723076653,0.2607688262001412,-0.4355209677310312,0.3509401181277883,-0.4386981890982203,0.21619174175389144,0.04654366609252148,-0.009421583606746463,-0.3157180090188632,0.05068714099956069,-0.07541789272199914,0.22096434581468036,1.0,0.0,-0.011890949462459206,0.21440351219556963,messy
6,542,541,drumstick,2.059123177773437,spatial,0.19199770422821127,0.20803523063659668,0.18143823424143052,-0.06924351042030749,0.1078233857951712,0.3300555345062589,0.12085716391679453,-0.004134085178784751,0.28206723918633053,0.24112610011739,-0.2293286064157499,-0.010693412115455539,-0.013011282842155934,0.22764949737686385,0.2514241142355696,0.18064588951886937,0.40402927021202684,0.2994925905410737,0.41036829437065436,0.3061621771432057,-0.23082644454416135,0.16679983649598534,-0.25542815690765863,0.12881639238667777,0.03205634253878064,-0.04371282549937223,-0.2827942557311009,0.2193194217877899,-0.23430414731802143,0.34875934090206795,1.0,0.0,-0.02039418350779281,0.2466819142173808,messy
146,603,690,horse cart,1.3087879040906394,spatial,0.5603916984190551,0.1306559443473816,0.18210307325112213,0.5992368839439164,0.11249258738225952,0.4114425293897137,0.029490036795902407,0.632945729064623,0.37000513900389415,0.7607892320525502,-0.09322578111336291,0.5036483574671903,-0.2259522627594466,0.5230654913802437,-0.2388181833913415,0.5450926159166563,-0.1657244266857179,0.31488578750331453,0.23493069086667484,0.4922351520232145,0.005976386475726954,0.47922382701302185,-0.6562708374318937,0.6259222232190393,0.09739867972601628,-0.17399940249038612,0.3286905354152774,0.6810110989051363,0.5153240216845374,0.7260048570949804,1.0000000000000002,0.0,-0.08526536616951898,0.28209068824775424,messy
177,598,851,home theater,0.6554558956497618,spatial,0.13511327370704235,0.17729508876800537,-0.07614607327326425,0.12501984928035959,-0.0035637711206509682,0.18864007305215139,0.02251160559820331,0.07676862377541882,-0.004760537496318697,0.12396867399219329,-0.10775357422694516,0.07274357440974341,0.16464345594726912,0.08275731971166464,0.03415330709313889,0.2062596185758068,0.06002433721546015,0.24767335891133027,0.23127693049320433,0.21291026071982744,-0.41927767597848814,0.49486427393618904,-0.08560648021324876,0.15153670541250908,0.12904815997775407,0.07975685384480781,-0.011628884002880315,0.07008573497637928,-0.08030451425113,0.11945112488996208,1.0,0.0,-0.08195307671270706,0.16832847958120706,clean
136,536,510,dock,1.3473397760315324,spatial,0.07179666908664767,0.2382085919380188,-0.05494435332000553,0.09184460717060394,0.04868915758548045,0.28065603487919877,0.07729240765292938,0.07994109376806184,0.2239422693012937,0.3974371980597165,-0.01277497941480399,0.09081168895230608,0.15359887989992743,0.300478872282035,0.23530142023490025,0.38255951722725845,0.1641932295957057,0.20562061897049297,0.04102743735594102,0.2748537209890418,-0.40107331786203876,0.349801452653722,-0.1699196658423819,0.28962283984877424,-0.01161828942035477,-0.06325896672477577,-0.17019523511779946,0.44227924983593575,-0.11414663785013543,0.4493944929115582,1.0000000000000002,0.0,0.013373074299201641,0.1872261325281197,messy
208,478,519,carton,2.4913860206196,spatial,0.07575189763147977,0.1616998314857483,-0.2661913135027838,0.23304395764312702,-0.05547736607941441,0.16500914380091058,-0.014588258655913821,-0.035844195837626276,0.13521742221000654,0.023888317292667365,-0.24304261242469608,0.2853954506175031,-0.074852220396681,0.04697329511219766,0.0251893103891688,0.07963730696362922,0.05348867485887309,0.0014414405205011335,0.2796151256551885,0.06530142489602186,-0.08118037861234483,0.10212821923093397,-0.010289162520547353,0.3563849376802749,0.08554141545547385,0.06635174985854342,-0.04220989396270406,0.31942196388335087,-0.04652124277782876,0.1922422507840384,1.0,0.0,-0.07268187305743715,0.15482338313420857,clean
164,582,950,grocery store,4.238266467079228,spatial,0.06080805076973267,0.23704683780670166,-0.06239361042290588,0.17392144530046852,0.03994995704063129,0.22683147501153197,0.35773508056339776,0.3125843798169174,0.296370116056216,0.3412211882661647,0.1983180102566078,0.06147534476557699,0.2749029738794308,0.2977313289669831,0.5095453438448372,0.5778269945330717,0.359842837487154,0.4840997530620449,0.3990797795418435,0.41627852157667056,-0.3052597484283394,0.37481173910682025,-0.42740783648361086,0.4937804661355273,0.06760592977633767,-0.1462128031458048,-0.20592493703192474,0.04537003558555402,-0.14299140296106544,0.30219833978431143,1.0000000000000002,0.0,0.13011068494605335,0.30261138099626306,messy
