category,n,spatial,featural,pct_spatial
horse cart,1,1,0,100
hotdog,1,1,0,100
hourglass,1,1,0,100
house finch,1,1,0,100
howler monkey,1,1,0,100
hummingbird,1,1,0,100
ibex,1,1,0,100
ice bear,1,1,0,100
ice lolly,1,1,0,100
indigo bunting,1,1,0,100
iron,1,1,0,100
isopod,1,1,0,100
jacamar,1,1,0,100
jack-o'-lantern,1,1,0,100
jackfruit,1,1,0,100
jay,1,1,0,100
jellyfish,1,1,0,100
jersey,1,1,0,100
jigsaw puzzle,1,1,0,100
jinrikisha,1,1,0,100
joystick,1,1,0,100
junco,1,1,0,100
keeshond,1,1,0,100
kelpie,1,1,0,100
killer whale,1,1,0,100
kimono,1,1,0,100
king crab,1,1,0,100
king penguin,1,1,0,100
king snake,1,1,0,100
kit fox,1,1,0,100
knee pad,1,1,0,100
knot,1,1,0,100
koala,1,1,0,100
komondor,1,1,0,100
kuvasz,1,1,0,100
lab coat,1,1,0,100
langur,1,1,0,100
lawn mower,1,1,0,100
leafhopper,1,1,0,100
leatherback turtle,1,1,0,100
lemon,1,1,0,100
lens cap,1,1,0,100
letter opener,1,1,0,100
lifeboat,1,1,0,100
limpkin,1,1,0,100
liner,1,1,0,100
lion,1,1,0,100
lipstick,1,1,0,100
little blue heron,1,1,0,100
llama,1,1,0,100
loggerhead,1,1,0,100
lynx,1,1,0,100
macaque,1,1,0,100
macaw,1,1,0,100
magnetic compass,1,1,0,100
magpie,1,1,0,100
mailbag,1,1,0,100
mailbox,1,1,0,100
maillot,1,1,0,100
malamute,1,1,0,100
manhole cover,1,1,0,100
mantis,1,1,0,100
marimba,1,1,0,100
marmoset,1,1,0,100
marmot,1,1,0,100
mashed potato,1,1,0,100
mask,1,1,0,100
matchstick,1,1,0,100
maypole,1,1,0,100
meat loaf,1,1,0,100
medicine chest,1,1,0,100
menu,1,1,0,100
microwave,1,1,0,100
military uniform,1,1,0,100
miniature pinscher,1,1,0,100
miniature poodle,1,1,0,100
minibus,1,1,0,100
miniskirt,1,1,0,100
minivan,1,1,0,100
mink,1,1,0,100
mitten,1,1,0,100
mobile home,1,1,0,100
monarch,1,1,0,100
mongoose,1,1,0,100
moped,1,1,0,100
mosque,1,1,0,100
mosquito net,1,1,0,100
mountain bike,1,1,0,100
mountain tent,1,1,0,100
mousetrap,1,1,0,100
moving van,1,1,0,100
muzzle,1,1,0,100
nail,1,1,0,100
neck brace,1,1,0,100
necklace,1,1,0,100
nematode,1,1,0,100
nipple,1,1,0,100
oboe,1,1,0,100
ocarina,1,1,0,100
odometer,1,1,0,100
orange,1,1,0,100
orangutan,1,1,0,100
organ,1,1,0,100
oscilloscope,1,1,0,100
ostrich,1,1,0,100
otter,1,1,0,100
ox,1,1,0,100
oystercatcher,1,1,0,100
packet,1,1,0,100
paddlewheel,1,1,0,100
padlock,1,1,0,100
pajama,1,1,0,100
panpipe,1,1,0,100
papillon,1,1,0,100
parachute,1,1,0,100
parking meter,1,1,0,100
partridge,1,1,0,100
patas,1,1,0,100
peacock,1,1,0,100
pelican,1,1,0,100
pencil box,1,1,0,100
pencil sharpener,1,1,0,100
perfume,1,1,0,100
pick,1,1,0,100
pickelhaube,1,1,0,100
picket fence,1,1,0,100
pickup,1,1,0,100
piggy bank,1,1,0,100
pill bottle,1,1,0,100
pillow,1,1,0,100
pineapple,1,1,0,100
ping-pong ball,1,1,0,100
pinwheel,1,1,0,100
pizza,1,1,0,100
plane,1,1,0,100
planetarium,1,1,0,100
plastic bag,1,1,0,100
platypus,1,1,0,100
plunger,1,1,0,100
police van,1,1,0,100
pomegranate,1,1,0,100
poncho,1,1,0,100
pool table,1,1,0,100
pop bottle,1,1,0,100
porcupine,1,1,0,100
potpie,1,1,0,100
prairie chicken,1,1,0,100
prayer rug,1,1,0,100
prison,1,1,0,100
proboscis monkey,1,1,0,100
ptarmigan,1,1,0,100
puck,1,1,0,100
puffer,1,1,0,100
pug,1,1,0,100
quail,1,1,0,100
quill,1,1,0,100
racer,1,1,0,100
radiator,1,1,0,100
radio,1,1,0,100
radio telescope,1,1,0,100
rain barrel,1,1,0,100
ram,1,1,0,100
rapeseed,1,1,0,100
red-backed sandpiper,1,1,0,100
red-breasted merganser,1,1,0,100
redshank,1,1,0,100
reflex camera,1,1,0,100
remote control,1,1,0,100
revolver,1,1,0,100
rhinoceros beetle,1,1,0,100
rifle,1,1,0,100
ringlet,1,1,0,100
ringneck snake,1,1,0,100
robin,1,1,0,100
rock python,1,1,0,100
rotisserie,1,1,0,100
ruddy turnstone,1,1,0,100
ruffed grouse,1,1,0,100
rugby ball,1,1,0,100
rule,1,1,0,100
running shoe,1,1,0,100
safe,1,1,0,100
safety pin,1,1,0,100
saltshaker,1,1,0,100
sandal,1,1,0,100
sandbar,1,1,0,100
scabbard,1,1,0,100
schipperke,1,1,0,100
school bus,1,1,0,100
schooner,1,1,0,100
scoreboard,1,1,0,100
scorpion,1,1,0,100
screw,1,1,0,100
screwdriver,1,1,0,100
sea anemone,1,1,0,100
sea lion,1,1,0,100
sea snake,1,1,0,100
sea urchin,1,1,0,100
seat belt,1,1,0,100
shoe shop,1,1,0,100
shoji,1,1,0,100
shower cap,1,1,0,100
shower curtain,1,1,0,100
sidewinder,1,1,0,100
silky terrier,1,1,0,100
skunk,1,1,0,100
slide rule,1,1,0,100
slot,1,1,0,100
snorkel,1,1,0,100
snowmobile,1,1,0,100
soap dispenser,1,1,0,100
soccer ball,1,1,0,100
sock,1,1,0,100
sombrero,1,1,0,100
sorrel,1,1,0,100
soup bowl,1,1,0,100
space heater,1,1,0,100
spaghetti squash,1,1,0,100
speedboat,1,1,0,100
spindle,1,1,0,100
spoonbill,1,1,0,100
sports car,1,1,0,100
spotlight,1,1,0,100
spotted salamander,1,1,0,100
squirrel monkey,1,1,0,100
