image_id,method,encoder,cs_cosine,cs_l2,y1,y2
222,IG,ViT,0.1552506685256958,21.238832473754883,492,519
222,IG,CLIP,0.02771604061126709,2.8511064052581787,492,519
222,Random,ResNet,0.04521214962005615,4.2253828048706055,492,519
222,Random,ViT,0.0720067024230957,17.698850631713867,492,519
222,Random,CLIP,0.02723526954650879,2.714953660964966,492,519
181,KL-IG² (adaptive),ResNet,0.12209248542785645,7.603681564331055,444,665
181,KL-IG² (adaptive),ViT,0.11716777086257935,19.552297592163086,444,665
181,KL-IG² (adaptive),CLIP,0.03483283519744873,3.0617523193359375,444,665
181,KL-IG²,ResNet,0.08692502975463867,6.829312324523926,444,665
181,KL-IG²,ViT,0.17427092790603638,23.47856903076172,444,665
181,KL-IG²,CLIP,0.013965845108032227,1.9304835796356201,444,665
181,KL-IG (linear),ResNet,0.09028804302215576,7.847601413726807,444,665
181,KL-IG (linear),ViT,0.05306065082550049,13.865880012512207,444,665
181,KL-IG (linear),CLIP,0.0687723159790039,4.400191783905029,444,665
181,KLIG-Adaptive,ResNet,0.11009395122528076,8.175496101379395,444,665
181,KLIG-Adaptive,ViT,0.16087913513183594,22.956159591674805,444,665
181,KLIG-Adaptive,CLIP,0.06038498878479004,4.183335304260254,444,665
181,IG,ResNet,0.049938082695007324,5.584420204162598,444,665
181,IG,ViT,0.09738326072692871,18.47971534729004,444,665
181,IG,CLIP,0.03994119167327881,3.335707902908325,444,665
181,Random,ResNet,0.1327286958694458,7.67692756652832,444,665
181,Random,ViT,0.029142022132873535,10.63928508758545,444,665
181,Random,CLIP,0.0216330885887146,2.3410942554473877,444,665
159,KL-IG² (adaptive),ResNet,0.08075439929962158,5.385233402252197,427,756
159,KL-IG² (adaptive),ViT,0.15122336149215698,22.08249282836914,427,756
159,KL-IG² (adaptive),CLIP,0.027014613151550293,2.7078723907470703,427,756
159,KL-IG²,ResNet,0.09589362144470215,5.46059513092041,427,756
159,KL-IG²,ViT,0.13300156593322754,19.84847640991211,427,756
159,KL-IG²,CLIP,0.025410771369934082,2.6512391567230225,427,756
159,KL-IG (linear),ResNet,0.14817804098129272,6.800883769989014,427,756
159,KL-IG (linear),ViT,0.19338548183441162,26.058349609375,427,756
159,KL-IG (linear),CLIP,0.01923823356628418,2.323798656463623,427,756
159,KLIG-Adaptive,ResNet,0.11251711845397949,5.793025493621826,427,756
159,KLIG-Adaptive,ViT,0.13202428817749023,22.04804801940918,427,756
159,KLIG-Adaptive,CLIP,0.03329735994338989,3.0026791095733643,427,756
159,IG,ResNet,0.07350993156433105,4.653866767883301,427,756
159,IG,ViT,0.1344820261001587,23.061077117919922,427,756
159,IG,CLIP,0.02410680055618286,2.5383498668670654,427,756
159,Random,ResNet,0.0727992057800293,5.258248329162598,427,756
159,Random,ViT,0.04512256383895874,12.339670181274414,427,756
159,Random,CLIP,0.019916296005249023,2.304372549057007,427,756
92,KL-IG² (adaptive),ResNet,0.17080390453338623,7.842273235321045,962,521
92,KL-IG² (adaptive),ViT,0.27437150478363037,31.32269859313965,962,521
92,KL-IG² (adaptive),CLIP,0.08844900131225586,4.687945365905762,962,521
92,KL-IG²,ResNet,0.07401549816131592,5.461801528930664,962,521
92,KL-IG²,ViT,0.2130987048149109,26.87470245361328,962,521
92,KL-IG²,CLIP,0.03354358673095703,2.951758623123169,962,521
92,KL-IG (linear),ResNet,0.12894272804260254,6.430122375488281,962,521
92,KL-IG (linear),ViT,0.11007297039031982,18.737960815429688,962,521
92,KL-IG (linear),CLIP,0.039658546447753906,3.259265661239624,962,521
92,KLIG-Adaptive,ResNet,0.08766371011734009,5.22751522064209,962,521
92,KLIG-Adaptive,ViT,0.1449252963066101,22.573104858398438,962,521
92,KLIG-Adaptive,CLIP,0.06995260715484619,4.298741817474365,962,521
92,IG,ResNet,0.12790143489837646,7.0042572021484375,962,521
92,IG,ViT,0.12340301275253296,22.282350540161133,962,521
92,IG,CLIP,0.08103567361831665,4.6340651512146,962,521
92,Random,ResNet,0.07158005237579346,5.229421138763428,962,521
92,Random,ViT,0.051796674728393555,13.049726486206055,962,521
92,Random,CLIP,0.03265106678009033,2.7594594955444336,962,521
223,KL-IG² (adaptive),ResNet,0.11975008249282837,7.401008605957031,522,574
223,KL-IG² (adaptive),ViT,0.06356823444366455,12.911883354187012,522,574
